Distance_(pixels),Gray_Value
0,38.0000
1,38.7851
2,41.1591
3,42.6332
4,37.8378
5,34.5170
6,33.9434
7,36.9464
8,42.3017
9,42.6375
10,42.6196
11,43.1797
12,43.1818
13,42.6478
14,41.6056
15,44.1875
16,45.1405
17,46.0212
18,44.7980
19,45.0655
20,43.7345
21,39.5565
22,38.5312
23,40.7399
24,41.3884
25,39.9261
26,40.4251
27,41.9441
28,43.9483
29,42.4773
30,42.4447
31,42.6136
32,39.7273
33,37.1484
34,38.4414
35,43.3306
36,47.6322
37,49.5739
38,49.0806
39,49.7264
40,50.0413
41,51.9486
42,50.8321
43,51.5341
44,51.7500
45,55.2250
46,57.9130
47,62.9259
48,64.1983
49,64.9190
50,65.5219
51,66.6356
52,68.3450
53,72.9534
54,76.6764
55,81.8906
56,86.9339
57,88.2909
58,89.1214
59,94.2893
60,98.4928
61,94.4007
62,95.8363
63,98.4059
64,100.3884
65,101.7219
66,104.7812
67,107.6935
68,106.4628
69,105.3780
70,105.2797
71,106.8702
72,107.1777
73,110.4395
74,108.9966
75,108.4580
76,108.9783
77,111.7500
78,112.2482
79,110.6069
80,110.2479
81,110.9817
82,112.2836
83,111.1615
84,111.0176
85,112.7641
86,113.2045
87,113.6338
88,109.5000
89,108.9729
90,110.6289
91,113.1932
92,115.4907
93,118.8068
94,119.2487
95,117.6080
96,116.5289
97,115.1546
98,118.7596
99,118.3828
100,116.3213
101,115.3204
102,112.2386
103,111.5057
104,113.8926
105,118.1032
106,120.6049
107,119.7955
108,115.9556
109,114.4081
110,112.4062
111,114.2882
112,114.5703
113,118.1424
114,116.7753
115,117.5090
116,115.7924
117,112.3649
118,111.2110
119,111.2591
120,109.1488
121,112.5703
122,113.6532
123,111.1296
124,106.5000
125,104.2939
126,100.3969
127,101.8565
128,102.5124
129,100.3836
130,96.4331
131,95.4489
132,94.5000
133,93.0019
134,93.7841
135,88.4577
136,85.1818
137,82.5909
138,82.9768
139,81.7658
140,79.2035
141,74.1432
142,72.1836
143,70.2891
144,67.4876
145,64.8500
146,63.2776
147,58.1603
148,55.5744
149,54.6510
150,53.1524
151,51.3097
152,48.7934
153,50.5628
154,52.1250
155,50.0956
156,46.6064
157,46.1394
158,47.6952
159,44.2685
160,45.9256
161,47.4249
162,47.7291
163,45.2955
164,43.3409
165,41.9688
166,39.5077
167,40.3556
168,38.7562
169,38.1258
170,39.0790
171,37.2377
172,36.8864
173,40.4148
174,39.6036
175,40.2323
176,42.0000
