Distance_(pixels),Gray_Value
0,46.0000
1,47.5271
2,46.2588
3,44.8379
4,47.7800
5,45.2859
6,42.2157
7,44.9022
8,46.5868
9,47.3546
10,47.8445
11,48.4141
12,49.7025
13,49.4580
14,51.9044
15,51.9837
16,52.7273
17,52.8197
18,54.5411
19,54.5317
20,57.2128
21,57.0742
22,52.5938
23,54.0896
24,55.6033
25,60.0057
26,61.9729
27,62.2102
28,60.8512
29,57.3328
30,58.3652
31,61.7159
32,63.4545
33,61.7891
34,62.7841
35,65.1500
36,62.0651
37,64.4481
38,65.8750
39,68.2168
40,69.0124
41,69.5173
42,70.9156
43,72.4990
44,69.6250
45,67.2330
46,67.3435
47,70.1874
48,70.4876
49,70.3310
50,68.9781
51,71.2545
52,73.7180
53,74.9807
54,76.5700
55,77.7109
56,78.1694
57,78.9398
58,79.0356
59,79.9175
60,84.3399
61,85.4626
62,86.9001
63,89.0484
64,88.9587
65,90.2377
66,90.1562
67,89.2604
68,89.5610
69,91.0429
70,94.7159
71,96.6600
72,96.6901
73,97.5264
74,97.5715
75,95.9341
76,97.7913
77,98.6094
78,97.8295
79,99.2522
80,99.1240
81,103.1774
82,103.7278
83,102.8935
84,100.5682
85,99.3409
86,96.9786
87,94.4201
88,96.0000
89,97.6237
90,101.7299
91,107.7327
92,105.9163
93,105.4925
94,108.9889
95,113.0183
96,113.8926
97,116.2022
98,116.2255
99,116.9141
100,113.6829
101,109.9602
102,106.8946
103,108.2606
104,107.3182
105,105.0933
106,104.7113
107,104.2216
108,104.0000
109,104.5976
110,103.7188
111,99.9271
112,95.8182
113,91.5398
114,92.4184
115,92.3160
116,94.5351
117,91.9667
118,91.5894
119,90.3545
120,91.0331
121,91.3359
122,91.2422
123,90.1238
124,86.2851
125,83.8466
126,84.9548
127,84.9399
128,85.3636
129,84.0883
130,81.1338
131,78.7743
132,82.5000
133,85.8737
134,81.2412
135,77.9205
136,74.4091
137,75.8645
138,75.9192
139,74.9375
140,77.5950
141,76.9205
142,74.4378
143,73.5781
144,74.0413
145,72.5194
146,72.3474
147,69.7727
148,69.5816
149,69.2614
150,70.6591
151,69.6422
152,67.0537
153,64.5110
154,61.5312
155,61.9208
156,64.0382
157,65.2215
158,63.0114
159,60.5096
160,61.8926
161,60.7747
162,58.0178
163,59.4454
164,59.4979
165,57.2266
166,53.1059
167,51.3534
168,52.1364
169,52.6534
170,48.7381
171,45.6486
172,42.2779
173,40.2075
174,38.2071
175,41.1146
176,51.0000
