Distance_(pixels),Gray_Value
0,43.0000
1,41.4558
2,42.0682
3,41.7587
4,41.0155
5,39.9982
6,39.9556
7,39.8206
8,42.9339
9,44.5716
10,45.3487
11,42.0703
12,41.2748
13,39.0103
14,34.5292
15,41.6884
16,41.8264
17,41.6415
18,40.2273
19,42.0398
20,44.9463
21,43.6818
22,44.5000
23,43.9659
24,42.9422
25,39.5144
26,39.5320
27,43.4743
28,45.6798
29,44.4370
30,47.8719
31,50.0659
32,47.7025
33,46.2969
34,47.6160
35,50.0568
36,50.8957
37,51.6470
38,51.7149
39,51.6316
40,52.4174
41,57.2355
42,59.8763
43,61.7976
44,58.2500
45,60.3880
46,62.1893
47,62.5449
48,62.0413
49,62.9342
50,64.3980
51,65.5114
52,68.2417
53,75.8443
54,79.3918
55,82.1641
56,86.6612
57,91.4955
58,94.8344
59,96.0401
60,102.1643
61,104.7709
62,105.2299
63,105.5428
64,103.0579
65,105.3175
66,107.2188
67,109.5294
68,107.0610
69,106.7242
70,107.0979
71,106.0649
72,105.4215
73,106.7967
74,108.9481
75,108.7034
76,108.7707
77,110.6406
78,109.1937
79,108.9137
80,109.2149
81,110.3969
82,111.1020
83,110.2978
84,106.0785
85,106.7045
86,106.4016
87,107.2579
88,107.0000
89,106.1477
90,107.5201
91,106.7105
92,108.5124
93,106.4474
94,108.1033
95,113.8157
96,117.7107
97,117.2375
98,117.0269
99,116.1484
100,114.8182
101,114.4057
102,113.6736
103,113.7053
104,112.6364
105,112.2344
106,113.5863
107,112.8301
108,112.9318
109,109.9438
110,109.8125
111,112.0969
112,113.5785
113,110.4117
114,109.2546
115,109.5469
116,110.9153
117,112.1453
118,113.9659
119,113.7273
120,111.8347
121,109.4219
122,107.5968
123,103.9636
124,97.4814
125,92.6648
126,91.3531
127,95.5185
128,95.9091
129,94.4943
130,93.2562
131,92.9950
132,91.3750
133,90.8623
134,89.7110
135,88.1134
136,82.1653
137,78.7078
138,77.7283
139,77.9805
140,77.4948
141,75.0341
142,69.0909
143,63.1016
144,62.9752
145,64.0000
146,64.3848
147,61.4464
148,59.6787
149,58.6690
150,58.4910
151,58.1590
152,54.4587
153,51.6294
154,49.2188
155,50.8867
156,48.9721
157,50.1648
158,49.8957
159,48.9214
160,49.1736
161,48.5783
162,46.8068
163,46.6603
164,47.7903
165,46.1172
166,48.5013
167,44.4079
168,41.0496
169,40.1205
170,42.0798
171,42.5795
172,42.8306
173,44.8749
174,45.4179
175,44.1651
176,43.0000
