Distance_(pixels),Gray_Value
0,52.0000
1,49.5414
2,47.7665
3,47.1109
4,48.4824
5,48.7003
6,48.9104
7,49.5264
8,46.7149
9,44.8716
10,43.8314
11,42.4375
12,43.1116
13,42.7455
14,43.5276
15,43.7191
16,44.5537
17,44.3110
18,44.0795
19,47.8635
20,49.9990
21,46.6818
22,47.6875
23,48.6661
24,49.2603
25,47.3606
26,45.8864
27,45.7201
28,48.8936
29,51.3068
30,53.8962
31,53.0568
32,46.4380
33,49.8359
34,55.2291
35,58.7228
36,60.5961
37,61.3856
38,58.7727
39,55.6337
40,59.4091
41,62.5254
42,62.5088
43,62.1667
44,60.6250
45,60.7560
46,65.9910
47,65.9578
48,66.9587
49,68.2694
50,68.2503
51,68.8105
52,69.8492
53,71.9454
54,71.6555
55,74.9219
56,77.5289
57,77.9523
58,77.9561
59,80.4412
60,85.7634
61,86.7174
62,88.3115
63,90.3807
64,92.5455
65,95.4255
66,96.3750
67,94.9261
68,95.0455
69,97.9034
70,102.6384
71,103.7249
72,105.9008
73,108.9800
74,111.7497
75,112.2034
76,111.8192
77,111.4922
78,112.9068
79,114.2488
80,113.5207
81,115.2045
82,115.4207
83,117.4375
84,119.9618
85,118.3694
86,116.3295
87,116.1657
88,119.0000
89,117.9094
90,117.3773
91,116.1646
92,115.3709
93,113.0138
94,111.0901
95,109.8827
96,113.5041
97,119.7681
98,123.7146
99,127.5312
100,123.9318
101,118.6887
102,115.4494
103,111.9845
104,114.1901
105,115.5667
106,114.4205
107,112.3009
108,109.8409
109,110.3904
110,109.9688
111,109.8412
112,110.5537
113,110.0513
114,110.6276
115,112.4982
116,113.6167
117,109.9874
118,107.0940
119,107.1579
120,106.3843
121,105.0234
122,103.6591
123,102.8954
124,97.2903
125,94.5832
126,93.3866
127,96.8831
128,97.0909
129,96.5965
130,95.9848
131,91.4094
132,89.6250
133,88.7390
134,86.6147
135,86.3149
136,83.4008
137,81.9835
138,84.4538
139,85.2337
140,85.0444
141,82.1796
142,81.1991
143,78.9609
144,75.7521
145,74.8011
146,73.9432
147,72.1490
148,68.2335
149,64.0999
150,62.6976
151,62.5769
152,62.6074
153,60.3191
154,60.3438
155,61.2446
156,61.2252
157,58.0399
158,56.6046
159,52.0819
160,52.7934
161,53.8275
162,51.1462
163,48.7978
164,46.5455
165,44.6094
166,44.4941
167,47.5580
168,50.3926
169,48.2253
170,45.2177
171,42.9429
172,43.5857
173,45.6903
174,45.9318
175,46.0445
176,44.0000
