Distance_(microns),Gray_Value
0.0000,2149.000
0.1083,2375.050
0.2167,2593.777
0.3250,2710.017
0.4333,2831.017
0.5417,2961.103
0.6500,3101.653
0.7583,3232.711
0.8667,3620.405
0.9750,3637.872
1.0833,3931.521
1.1917,4220.000
1.3000,4478.785
1.4083,4962.802
1.5167,5487.008
1.6250,6588.351
1.7333,8147.703
1.8417,10210.013
1.9500,12879.529
2.0583,15483.389
2.1667,17755.107
2.2750,19701.570
2.3833,20753.000
2.4917,21052.100
2.6000,21231.363
2.7083,21562.404
2.8167,22231.330
2.9250,22364.623
3.0333,22116.033
3.1417,22149.166
3.2500,21696.307
3.3583,20673.707
3.4667,20891.174
3.5750,20936.000
3.6833,20338.908
3.7917,20098.355
3.9000,19860.049
4.0083,20621.512
4.1167,21091.496
4.2250,21465.814
4.3333,21724.430
4.4417,22072.607
4.5500,22547.281
4.6583,23081.889
4.7667,23589.000
4.8750,24598.908
4.9833,24850.496
5.0917,25310.549
5.2000,25844.801
5.3083,26265.230
5.4167,26354.107
5.5250,26485.867
5.6333,26516.066
5.7417,26465.004
5.8500,26513.430
5.9583,26470.000
6.0667,26495.711
6.1750,26647.508
6.2833,26222.133
6.3917,26008.896
6.5000,25745.156
6.6083,26056.393
6.7167,25920.438
6.8250,26192.426
6.9333,26328.967
7.0417,26981.662
7.1500,27300.000
7.2583,27927.123
7.3667,28465.059
7.4750,29128.623
7.5833,29136.438
7.6917,29724.885
7.8000,30788.000
7.9083,31860.908
8.0167,33089.785
8.1250,34433.020
8.2333,36161.969
8.3417,37849.500
8.4500,40174.777
8.5583,42771.555
8.6667,44256.223
8.7750,46422.109
8.8833,48716.711
8.9917,49992.633
9.1000,51257.527
9.2083,52983.266
9.3167,54258.727
9.4250,55151.434
9.5333,55764.000
9.6417,57006.723
9.7500,57610.125
9.8583,58403.199
9.9667,60514.629
10.0750,60968.141
10.1833,62127.902
10.2917,62513.578
10.4000,62892.258
10.5083,62687.988
10.6167,62835.480
10.7250,62560.500
10.8333,61958.992
10.9417,61704.445
11.0500,61623.777
11.1583,61154.277
11.2667,60761.445
11.3750,60477.949
11.4833,59951.613
11.5917,60072.086
11.7000,60349.191
11.8083,59900.266
11.9167,59627.000
12.0250,58288.387
12.1333,57753.223
12.2417,57279.445
12.3500,56726.770
12.4583,55398.809
12.5667,54770.109
12.6750,54074.117
12.7833,53369.090
12.8917,52492.684
13.0000,51046.793
13.1083,50804.500
13.2167,49871.023
13.3250,48645.582
13.4333,47738.957
13.5417,46448.785
13.6500,45362.453
13.7583,44426.555
13.8667,43079.539
13.9750,41877.801
14.0833,39400.090
14.1917,37803.152
14.3000,36521.000
14.4083,35127.918
14.5167,33967.496
14.6250,32259.600
14.7333,31876.025
14.8417,31266.141
14.9500,30705.281
15.0583,30111.871
15.1667,30450.281
15.2750,30394.119
15.3833,30760.338
15.4917,31676.000
15.6000,32411.852
15.7083,33593.980
15.8167,35060.215
15.9250,35667.469
16.0333,35158.043
16.1417,33983.703
16.2500,32177.240
16.3583,30675.059
16.4667,28570.611
16.5750,25638.760
16.6833,22413.000
16.7917,19387.826
16.9000,15844.537
17.0083,12622.822
17.1167,10136.818
17.2250,8241.165
17.3333,7248.752
17.4417,6684.682
17.5500,6188.669
17.6583,5712.025
17.7667,5307.083
17.8750,4840.500
17.9833,4764.859
18.0917,4559.595
18.2000,4366.793
18.3083,4241.636
18.4167,4058.579
18.5250,3809.777
18.6333,3792.050
18.7417,3546.731
18.8500,3432.603
18.9583,3304.339
19.0667,3185.000
