Distance_(microns),Gray_Value
0.0000,3073.000
0.1083,3004.459
0.2167,3315.140
0.3250,3468.789
0.4333,3431.851
0.5417,3755.831
0.6500,4005.397
0.7583,4064.054
0.8667,4223.463
0.9750,4453.938
1.0833,4603.669
1.1917,4667.000
1.3000,5081.686
1.4083,5255.190
1.5167,5524.950
1.6250,5691.231
1.7333,6003.893
1.8417,6376.173
1.9500,6391.587
2.0583,6848.537
2.1667,7130.669
2.2750,7455.322
2.3833,7791.000
2.4917,8324.219
2.6000,8704.876
2.7083,8947.822
2.8167,9754.521
2.9250,9963.396
3.0333,10447.496
3.1417,10907.380
3.2500,11489.810
3.3583,11986.153
3.4667,12642.132
3.5750,13179.000
3.6833,14152.148
3.7917,15150.785
3.9000,15936.198
4.0083,16555.285
4.1167,16981.545
4.2250,17193.363
4.3333,17569.645
4.4417,17854.793
4.5500,17495.703
4.6583,17159.293
4.7667,17246.000
4.8750,17203.451
4.9833,17040.115
5.0917,16810.070
5.2000,16920.141
5.3083,17394.385
5.4167,16919.908
5.5250,17075.352
5.6333,17139.512
5.7417,17235.703
5.8500,17483.785
5.9583,17740.500
6.0667,17912.059
6.1750,18237.707
6.2833,18241.215
6.3917,18236.662
6.5000,18333.107
6.6083,18680.055
6.7167,19166.984
6.8250,19259.385
6.9333,19457.941
7.0417,19626.166
7.1500,19837.000
7.2583,20872.475
7.3667,21362.918
7.4750,21579.338
7.5833,22216.189
7.6917,22478.355
7.8000,23060.133
7.9083,23572.549
8.0167,24191.092
8.1250,24018.182
8.2333,24882.082
8.3417,25292.500
8.4500,25508.123
8.5583,26268.066
8.6667,26361.059
8.7750,26956.355
8.8833,27525.223
8.9917,28003.451
9.1000,28302.123
9.2083,28026.459
9.3167,28814.727
9.4250,29061.451
9.5333,29820.000
9.6417,29367.730
9.7500,29773.189
9.8583,30077.348
9.9667,30279.396
10.0750,30300.814
10.1833,30433.545
10.2917,30624.541
10.4000,31014.488
10.5083,31482.162
10.6167,31231.570
10.7250,30947.000
10.8333,30746.678
10.9417,31076.314
11.0500,30646.115
11.1583,30646.867
11.2667,30733.752
11.3750,30130.182
11.4833,30453.430
11.5917,30308.811
11.7000,29679.908
11.8083,29148.516
11.9167,28329.000
12.0250,28713.723
12.1333,28699.959
12.2417,28239.922
12.3500,27391.240
12.4583,27097.955
12.5667,26618.141
12.6750,26192.570
12.7833,25697.355
12.8917,25723.744
13.0000,25436.156
13.1083,25163.000
13.2167,24964.984
13.3250,24773.033
13.4333,24303.166
13.5417,24160.252
13.6500,23738.834
13.7583,23258.707
13.8667,23204.025
13.9750,22387.459
14.0833,21873.471
14.1917,21466.859
14.3000,20897.000
14.4083,20769.600
14.5167,20509.496
14.6250,19982.533
14.7333,19615.545
14.8417,19204.996
14.9500,18705.148
15.0583,18223.781
15.1667,17646.760
15.2750,16701.344
15.3833,16432.586
15.4917,16275.500
15.6000,15790.950
15.7083,15159.657
15.8167,14582.876
15.9250,13794.541
16.0333,13546.852
16.1417,12653.632
16.2500,12263.248
16.3583,11876.942
16.4667,11460.405
16.5750,10988.046
16.6833,10086.000
16.7917,10027.182
16.9000,9487.504
17.0083,8957.442
17.1167,8115.173
17.2250,7934.409
17.3333,7693.802
17.4417,7287.686
17.5500,6699.223
17.6583,6742.235
17.7667,6539.967
17.8750,6047.000
17.9833,5815.703
18.0917,5552.591
18.2000,5322.273
18.3083,5140.318
18.4167,4965.570
18.5250,4487.930
18.6333,4645.396
18.7417,4504.025
18.8500,4324.289
18.9583,4065.537
19.0667,3840.000
