Distance_(microns),Gray_Value
0.0000,4963.000
0.1083,4817.074
0.2167,4992.777
0.3250,5135.091
0.4333,5424.017
0.5417,5790.707
0.6500,5883.488
0.7583,6092.967
0.8667,6445.868
0.9750,6841.901
1.0833,7075.595
1.1917,7371.000
1.3000,7795.471
1.4083,8319.347
1.5167,8718.554
1.6250,9364.202
1.7333,9967.570
1.8417,10116.013
1.9500,10908.859
2.0583,10967.607
2.1667,11561.611
2.2750,11990.368
2.3833,13015.000
2.4917,13563.380
2.6000,14024.934
2.7083,14299.029
2.8167,14741.355
2.9250,15036.393
3.0333,15458.835
3.1417,15687.186
3.2500,15877.281
3.3583,16415.301
3.4667,16668.199
3.5750,16556.000
3.6833,16889.859
3.7917,17527.582
3.9000,17270.504
4.0083,17849.012
4.1167,18351.719
4.2250,18799.418
4.3333,18953.670
4.4417,20008.041
4.5500,20258.662
4.6583,20494.682
4.7667,21348.000
4.8750,22150.822
4.9833,22910.496
5.0917,23473.119
5.2000,23717.215
5.3083,24391.699
5.4167,24587.115
5.5250,24915.756
5.6333,25091.719
5.7417,25483.744
5.8500,25703.545
5.9583,25643.000
6.0667,25946.438
6.1750,26099.016
6.2833,26103.537
6.3917,26898.426
6.5000,27229.934
6.6083,27856.211
6.7167,28133.389
6.8250,28709.455
6.9333,29111.586
7.0417,29335.578
7.1500,29973.000
7.2583,31034.562
7.3667,32165.189
7.4750,32652.678
7.5833,33350.621
7.6917,33840.930
7.8000,34623.438
7.9083,35787.375
8.0167,36519.586
8.1250,37167.328
8.2333,38125.957
8.3417,38434.500
8.4500,39852.379
8.5583,40697.988
8.6667,41896.711
8.7750,41989.328
8.8833,42744.133
8.9917,44040.223
9.1000,43399.164
9.2083,44530.340
9.3167,45432.883
9.4250,45952.555
9.5333,46294.000
9.6417,47051.438
9.7500,47491.340
9.8583,48282.645
9.9667,48844.488
10.0750,49110.711
10.1833,49212.703
10.2917,49757.566
10.4000,49677.273
10.5083,50041.227
10.6167,50147.453
10.7250,50796.500
10.8333,50629.312
10.9417,50761.344
11.0500,51387.215
11.1583,50709.309
11.2667,50425.133
11.3750,50674.957
11.4833,49860.488
11.5917,50033.168
11.7000,49674.949
11.8083,48485.402
11.9167,48562.000
12.0250,47206.285
12.1333,47023.711
12.2417,46404.801
12.3500,45354.793
12.4583,44813.656
12.5667,44160.969
12.6750,43508.078
12.7833,42579.199
12.8917,42958.602
13.0000,42676.742
13.1083,41652.000
13.2167,41371.266
13.3250,40917.266
13.4333,41123.324
13.5417,40542.531
13.6500,40514.957
13.7583,39704.418
13.8667,38900.984
13.9750,38170.855
14.0833,36990.117
14.1917,36428.512
14.3000,35718.000
14.4083,35173.973
14.5167,34120.828
14.6250,33210.133
14.7333,32935.984
14.8417,31867.682
14.9500,31355.562
15.0583,30159.727
15.1667,29343.445
15.2750,28889.699
15.3833,28019.033
15.4917,27304.500
15.6000,26458.445
15.7083,25330.615
15.8167,25097.215
15.9250,23858.686
16.0333,22769.348
16.1417,21651.404
16.2500,20768.314
16.3583,20131.727
16.4667,19202.967
16.5750,18002.012
16.6833,17252.000
16.7917,16552.682
16.9000,15321.735
17.0083,14483.376
17.1167,13577.124
17.2250,12797.186
17.3333,12222.487
17.4417,11575.231
17.5500,11254.405
17.6583,10425.008
17.7667,9977.876
17.8750,9286.000
17.9833,9069.546
18.0917,8919.111
18.2000,8137.967
18.3083,7844.401
18.4167,7529.545
18.5250,7015.488
18.6333,6863.827
18.7417,6697.248
18.8500,6118.479
18.9583,5861.806
19.0667,6036.000
