Distance_(microns),Gray_Value
0.0000,4272.000
0.1083,4461.050
0.2167,4634.521
0.3250,4801.132
0.4333,4926.198
0.5417,5037.537
0.6500,5436.851
0.7583,5636.504
0.8667,5813.008
0.9750,6379.802
1.0833,6710.884
1.1917,7096.500
1.3000,7501.132
1.4083,8030.252
1.5167,8588.942
1.6250,9179.153
1.7333,9722.157
1.8417,10314.352
1.9500,11065.430
2.0583,11830.574
2.1667,12253.041
2.2750,13048.285
2.3833,13713.000
2.4917,14383.607
2.6000,14952.487
2.7083,15457.524
2.8167,15960.521
2.9250,16383.769
3.0333,16948.619
3.1417,16970.318
3.2500,16911.777
3.3583,16849.311
3.4667,16897.959
3.5750,16807.000
3.6833,16933.959
3.7917,17007.699
3.9000,17744.900
4.0083,17815.967
4.1167,17894.396
4.2250,18503.385
4.3333,19259.719
4.4417,19858.215
4.5500,20721.736
4.6583,21307.270
4.7667,22857.000
4.8750,22827.666
4.9833,23572.652
5.0917,24133.318
5.2000,24133.273
5.3083,24841.744
5.4167,25232.348
5.5250,25422.348
5.6333,25675.422
5.7417,25436.793
5.8500,25635.975
5.9583,25679.500
6.0667,25864.463
6.1750,26236.781
6.2833,25839.041
6.3917,25888.244
6.5000,26103.545
6.6083,26788.148
6.7167,27057.885
6.8250,27678.592
6.9333,28485.834
7.0417,29128.141
7.1500,29675.000
7.2583,30428.727
7.3667,31201.330
7.4750,32331.314
7.5833,33415.074
7.6917,34870.582
7.8000,35581.547
7.9083,36634.871
8.0167,37060.637
8.1250,38760.047
8.2333,39736.816
8.3417,40144.000
8.4500,41204.660
8.5583,41657.168
8.6667,41981.621
8.7750,43495.188
8.8833,44392.207
8.9917,45708.996
9.1000,47079.305
9.2083,47667.633
9.3167,48214.023
9.4250,48684.070
9.5333,49039.000
9.6417,49344.586
9.7500,49625.340
9.8583,50295.848
9.9667,51029.398
10.0750,51545.914
10.1833,52405.902
10.2917,52503.199
10.4000,52678.023
10.5083,53913.086
10.6167,54272.098
10.7250,55118.500
10.8333,55242.266
10.9417,55385.312
11.0500,56130.934
11.1583,56367.492
11.2667,56382.785
11.3750,55218.316
11.4833,54937.266
11.5917,54354.316
11.7000,53630.949
11.8083,52736.812
11.9167,51695.000
12.0250,50378.305
12.1333,48654.852
12.2417,47815.629
12.3500,46188.652
12.4583,45545.711
12.5667,45039.406
12.6750,44729.234
12.7833,43629.652
12.8917,43788.512
13.0000,43705.969
13.1083,43564.000
13.2167,43308.504
13.3250,43592.277
13.4333,43150.340
13.5417,43374.000
13.6500,42910.539
13.7583,41847.633
13.8667,41385.016
13.9750,40926.375
14.0833,40045.969
14.1917,39120.598
14.3000,38004.000
14.4083,37933.633
14.5167,36824.660
14.6250,35610.883
14.7333,34516.629
14.8417,33595.496
14.9500,32750.570
15.0583,31711.438
15.1667,30833.959
15.2750,30608.674
15.3833,29705.545
15.4917,28571.000
15.6000,27917.488
15.7083,27169.004
15.8167,26508.248
15.9250,25258.801
16.0333,23804.793
16.1417,22555.256
16.2500,21803.082
16.3583,20988.096
16.4667,19681.404
16.5750,18523.938
16.6833,17066.000
16.7917,16233.331
16.9000,15341.942
17.0083,14051.483
17.1167,13026.372
17.2250,12102.396
17.3333,11548.562
17.4417,11008.228
17.5500,10363.248
17.6583,9862.050
17.7667,9358.826
17.8750,8740.500
17.9833,8113.141
18.0917,7812.153
18.2000,7456.992
18.3083,7003.463
18.4167,6783.099
18.5250,6519.376
18.6333,6132.504
18.7417,5718.166
18.8500,5563.149
18.9583,5402.293
19.0667,4861.000
