Distance_(microns),Gray_Value
0.0000,5169.000
0.1083,5331.666
0.2167,5704.661
0.3250,5758.327
0.4333,5835.240
0.5417,6119.120
0.6500,6346.389
0.7583,6563.834
0.8667,7042.141
0.9750,7028.946
1.0833,7351.752
1.1917,7725.000
1.3000,7866.686
1.4083,8431.798
1.5167,9002.487
1.6250,9327.769
1.7333,9783.396
1.8417,10231.620
1.9500,10502.744
2.0583,10976.438
2.1667,11473.917
2.2750,12027.550
2.3833,12448.000
2.4917,12967.922
2.6000,13149.339
2.7083,13970.318
2.8167,14307.422
2.9250,14550.244
3.0333,14890.645
3.1417,15406.115
3.2500,15445.239
3.3583,15731.111
3.4667,16312.083
3.5750,16320.500
3.6833,16697.918
3.7917,16901.781
3.9000,17253.678
4.0083,17710.863
4.1167,18240.570
4.2250,18583.689
4.3333,19102.281
4.4417,19881.867
4.5500,20381.074
4.6583,21011.959
4.7667,21259.000
4.8750,21962.162
4.9833,22372.744
5.0917,22901.629
5.2000,23392.885
5.3083,23440.359
5.4167,24017.445
5.5250,24506.492
5.6333,24795.348
5.7417,25374.123
5.8500,25419.389
5.9583,25788.500
6.0667,26291.404
6.1750,26590.908
6.2833,26441.455
6.3917,26671.641
6.5000,27067.555
6.6083,27765.396
6.7167,28292.471
6.8250,29048.533
6.9333,29505.770
7.0417,29633.611
7.1500,30023.000
7.2583,30904.264
7.3667,31471.562
7.4750,31946.219
7.5833,33323.281
7.6917,33600.406
7.8000,34072.652
7.9083,34633.797
8.0167,35112.793
8.1250,35391.414
8.2333,36505.555
8.3417,37307.000
8.4500,37987.082
8.5583,38610.398
8.6667,38759.621
8.7750,39249.230
8.8833,39722.141
8.9917,40705.215
9.1000,41243.910
9.2083,41846.523
9.3167,42659.742
9.4250,42982.422
9.5333,43128.000
9.6417,44148.859
9.7500,43837.289
9.8583,44520.480
9.9667,44615.305
10.0750,45007.672
10.1833,45927.215
10.2917,46029.469
10.4000,46349.312
10.5083,45364.734
10.6167,46061.547
10.7250,46892.500
10.8333,46653.613
10.9417,46347.453
11.0500,47425.453
11.1583,46788.266
11.2667,46722.836
11.3750,46090.891
11.4833,46471.340
11.5917,45710.645
11.7000,45521.512
11.8083,45047.047
11.9167,44679.000
12.0250,44445.258
12.1333,43361.488
12.2417,42948.652
12.3500,42089.734
12.4583,42146.344
12.5667,41271.422
12.6750,40864.859
12.7833,41070.902
12.8917,40417.926
13.0000,39589.281
13.1083,39104.500
13.2167,38472.141
13.3250,38080.590
13.4333,36968.727
13.5417,37124.953
13.6500,36868.660
13.7583,36248.676
13.8667,35825.688
13.9750,34765.988
14.0833,34240.512
14.1917,33338.363
14.3000,32841.000
14.4083,32226.529
14.5167,31678.736
14.6250,31073.797
14.7333,30409.033
14.8417,30169.604
14.9500,29641.678
15.0583,28580.307
15.1667,27903.570
15.2750,26733.314
15.3833,26096.033
15.4917,25698.000
15.6000,24772.199
15.7083,24071.145
15.8167,23241.951
15.9250,22441.322
16.0333,21662.984
16.1417,20641.719
16.2500,20038.975
16.3583,18968.174
16.4667,18723.141
16.5750,18173.025
16.6833,16615.000
16.7917,16354.487
16.9000,15402.091
17.0083,14469.355
17.1167,13973.537
17.2250,13114.111
17.3333,12560.124
17.4417,12089.107
17.5500,11346.604
17.6583,11057.521
17.7667,10871.182
17.8750,10126.000
17.9833,9756.653
18.0917,9294.896
18.2000,9061.620
18.3083,8494.248
18.4167,8088.785
18.5250,7839.525
18.6333,7448.554
18.7417,7158.042
18.8500,7055.504
18.9583,6712.979
19.0667,6585.000
