Distance_(microns),Gray_Value
0.0000,1319.000
0.1083,1322.124
0.2167,1381.488
0.3250,1517.587
0.4333,1567.240
0.5417,1620.397
0.6500,1639.612
0.7583,1766.711
0.8667,1893.223
0.9750,1940.099
1.0833,1995.083
1.1917,2051.000
1.3000,2385.405
1.4083,2499.483
1.5167,2641.554
1.6250,3210.893
1.7333,3923.587
1.8417,4654.231
1.9500,5664.058
2.0583,7070.265
2.1667,8403.876
2.2750,9154.024
2.3833,10056.000
2.4917,10847.041
2.6000,11685.396
2.7083,12330.541
2.8167,13319.314
2.9250,14790.148
3.0333,16408.148
3.1417,17997.441
3.2500,19912.811
3.3583,21211.062
3.4667,22838.793
3.5750,22403.500
3.6833,21690.793
3.7917,20585.689
3.9000,20586.314
4.0083,20924.555
4.1167,21664.537
4.2250,22379.471
4.3333,23028.908
4.4417,23677.652
4.5500,23628.463
4.6583,23745.752
4.7667,25561.000
4.8750,25752.078
4.9833,25993.662
5.0917,25875.826
5.2000,25204.908
5.3083,23536.756
5.4167,21937.877
5.5250,20611.615
5.6333,19514.760
5.7417,18968.525
5.8500,18353.777
5.9583,17945.500
6.0667,17884.422
6.1750,17822.004
6.2833,17195.156
6.3917,17174.730
6.5000,17090.074
6.6083,17415.711
6.7167,17409.512
6.8250,17357.471
6.9333,17377.223
7.0417,17683.682
7.1500,17722.000
7.2583,18531.500
7.3667,18723.414
7.4750,19184.389
7.5833,19283.092
7.6917,19562.418
7.8000,20376.785
7.9083,21222.137
8.0167,21907.355
8.1250,22769.699
8.2333,24449.670
8.3417,25349.500
8.4500,27175.322
8.5583,28846.059
8.6667,30370.471
8.7750,31614.693
8.8833,33114.719
8.9917,34760.824
9.1000,35189.875
9.2083,35840.305
9.3167,36797.734
9.4250,37794.957
9.5333,37143.000
9.6417,38357.332
9.7500,39138.562
9.8583,39940.355
9.9667,41038.570
10.0750,41290.445
10.1833,42201.133
10.2917,42247.457
10.4000,42269.246
10.5083,41582.324
10.6167,41844.602
10.7250,41940.500
10.8333,41329.660
10.9417,41059.184
11.0500,40765.727
11.1583,40305.434
11.2667,39996.742
11.3750,39550.469
11.4833,39607.043
11.5917,40364.324
11.7000,39772.539
11.8083,39235.008
11.9167,39025.000
12.0250,39239.004
12.1333,38464.043
12.2417,37954.625
12.3500,37419.133
12.4583,36986.711
12.5667,35759.867
12.6750,34973.695
12.7833,34265.816
12.8917,34451.863
13.0000,33811.184
13.1083,32498.000
13.2167,32205.852
13.3250,32178.807
13.4333,31391.984
13.5417,30817.104
13.6500,30003.818
13.7583,28965.359
13.8667,28376.115
13.9750,27041.521
14.0833,26052.115
14.1917,24719.381
14.3000,23679.000
14.4083,22608.988
14.5167,21683.000
14.6250,20995.592
14.7333,20583.959
14.8417,20055.045
14.9500,19328.934
15.0583,18981.004
15.1667,19096.826
15.2750,19060.029
15.3833,19474.123
15.4917,20067.500
15.6000,20394.166
15.7083,21076.641
15.8167,21687.703
15.9250,22008.426
16.0333,21797.975
16.1417,21199.596
16.2500,19678.082
16.3583,18549.619
16.4667,16774.092
16.5750,14813.554
16.6833,12384.000
16.7917,10560.141
16.9000,8551.843
17.0083,6903.215
17.1167,5528.669
17.2250,4680.711
17.3333,3981.653
17.4417,3677.219
17.5500,3441.355
17.6583,3204.698
17.7667,2899.165
17.8750,2793.000
17.9833,2681.529
18.0917,2545.227
18.2000,2358.182
18.3083,2296.971
18.4167,2248.992
18.5250,2125.207
18.6333,2124.355
18.7417,2023.169
18.8500,1937.711
18.9583,1966.736
19.0667,1843.000
