Distance_(microns),Gray_Value
0.0000,3507.000
0.1083,3366.211
0.2167,3420.132
0.3250,3612.901
0.4333,3755.975
0.5417,3909.905
0.6500,3986.479
0.7583,4242.607
0.8667,4383.322
0.9750,4490.946
1.0833,4655.545
1.1917,4767.500
1.3000,5238.099
1.4083,5422.178
1.5167,5758.389
1.6250,5891.405
1.7333,6159.166
1.8417,6660.905
1.9500,6902.504
2.0583,7216.417
2.1667,7440.636
2.2750,7461.169
2.3833,7780.000
2.4917,8463.442
2.6000,8988.314
2.7083,9116.648
2.8167,9184.182
2.9250,9523.682
3.0333,10119.628
3.1417,10441.566
3.2500,10814.182
3.3583,11498.137
3.4667,12003.926
3.5750,12208.000
3.6833,12475.678
3.7917,13167.657
3.9000,13459.604
4.0083,14070.942
4.1167,14327.719
4.2250,14287.161
4.3333,14670.694
4.4417,15010.554
4.5500,15412.314
4.6583,15412.293
4.7667,15476.000
4.8750,15325.739
4.9833,15480.389
5.0917,16089.157
5.2000,16396.504
5.3083,16298.946
5.4167,16169.389
5.5250,16285.826
5.6333,16515.744
5.7417,16674.377
5.8500,17035.422
5.9583,17032.500
6.0667,16990.908
6.1750,17222.293
6.2833,17623.512
6.3917,17817.170
6.5000,18193.389
6.6083,18450.145
6.7167,18729.471
6.8250,18752.463
6.9333,19378.455
7.0417,19793.426
7.1500,19676.000
7.2583,20427.475
7.3667,20569.670
7.4750,20977.934
7.5833,21179.396
7.6917,21967.488
7.8000,22058.611
7.9083,22423.521
8.0167,22575.082
8.1250,22734.744
8.2333,22906.918
8.3417,23368.500
8.4500,23591.281
8.5583,24114.586
8.6667,24480.479
8.7750,24901.537
8.8833,25148.381
8.9917,25694.396
9.1000,25810.182
9.2083,26010.984
9.3167,26176.496
9.4250,26803.062
9.5333,27091.000
9.6417,26798.785
9.7500,27146.207
9.8583,27328.166
9.9667,28119.611
10.0750,27823.877
10.1833,28030.371
10.2917,27973.549
10.4000,27749.199
10.5083,28119.193
10.6167,28204.455
10.7250,28222.500
10.8333,28113.908
10.9417,28280.045
11.0500,28366.273
11.1583,27873.885
11.2667,27687.941
11.3750,27501.256
11.4833,27548.430
11.5917,27187.996
11.7000,27103.389
11.8083,26577.240
11.9167,26437.000
12.0250,26312.355
12.1333,26105.189
12.2417,25664.559
12.3500,25224.678
12.4583,25450.363
12.5667,24778.555
12.6750,24401.367
12.7833,24281.223
12.8917,23928.871
13.0000,23726.975
13.1083,22896.500
13.2167,22949.100
13.3250,22799.293
13.4333,22335.785
13.5417,22232.549
13.6500,21930.156
13.7583,21388.438
13.8667,21376.596
13.9750,21057.152
14.0833,20475.141
14.1917,19821.441
14.3000,19183.000
14.4083,18973.133
14.5167,18756.877
14.6250,18333.529
14.7333,18058.578
14.8417,18243.830
14.9500,17234.877
15.0583,16846.678
15.1667,16544.422
15.2750,16334.157
15.3833,15605.818
15.4917,15222.000
15.6000,14999.174
15.7083,14058.946
15.8167,13785.686
15.9250,13476.694
16.0333,13013.248
16.1417,12559.111
16.2500,12291.174
16.3583,11810.934
16.4667,11271.793
16.5750,10796.385
16.6833,10466.000
16.7917,9826.847
16.9000,9315.083
17.0083,8873.182
17.1167,8266.479
17.2250,8384.604
17.3333,7940.091
17.4417,7590.223
17.5500,7296.785
17.6583,6961.930
17.7667,6667.785
17.8750,6461.000
17.9833,6325.430
18.0917,6155.876
18.2000,5700.834
18.3083,5577.901
18.4167,5345.562
18.5250,5179.500
18.6333,5035.405
18.7417,4740.793
18.8500,4542.124
18.9583,4455.207
19.0667,4399.000
