Distance_(microns),Gray_Value
0.0000,2520.000
0.1083,2788.376
0.2167,2939.736
0.3250,3088.682
0.4333,2995.372
0.5417,3275.434
0.6500,3547.810
0.7583,3734.773
0.8667,3710.843
0.9750,4055.314
1.0833,4231.198
1.1917,4719.000
1.3000,4833.198
1.4083,4981.624
1.5167,5438.529
1.6250,5699.678
1.7333,5973.620
1.8417,6201.107
1.9500,6580.604
2.0583,6946.368
2.1667,7220.760
2.2750,7446.091
2.3833,7907.000
2.4917,8494.954
2.6000,9020.215
2.7083,9313.550
2.8167,9544.570
2.9250,10363.145
3.0333,10524.174
3.1417,11151.339
3.2500,11709.389
3.3583,12274.632
3.4667,13580.306
3.5750,14697.500
3.6833,16131.529
3.7917,18672.707
3.9000,21344.488
4.0083,23911.945
4.1167,26034.951
4.2250,27085.311
4.3333,26781.562
4.4417,25469.418
4.5500,23379.041
4.6583,21413.500
4.7667,20381.000
4.8750,19221.037
4.9833,18591.230
5.0917,17990.211
5.2000,18146.355
5.3083,18198.281
5.4167,17555.908
5.5250,17485.693
5.6333,17549.438
5.7417,17982.396
5.8500,17691.521
5.9583,17930.000
6.0667,17919.207
6.1750,17651.992
6.2833,17774.686
6.3917,18131.236
6.5000,18296.463
6.6083,18895.559
6.7167,19002.975
6.8250,19076.777
6.9333,19975.182
7.0417,20259.859
7.1500,20805.000
7.2583,20827.797
7.3667,21568.959
7.4750,21849.389
7.5833,22592.619
7.6917,23528.137
7.8000,24119.348
7.9083,24920.941
8.0167,25448.752
8.1250,25510.223
8.2333,25924.801
8.3417,26953.000
8.4500,27001.941
8.5583,27966.244
8.6667,28070.811
8.7750,28758.422
8.8833,29034.430
8.9917,29654.600
9.1000,30047.941
9.2083,30334.215
9.3167,31145.736
9.4250,31302.070
9.5333,32758.000
9.6417,32095.988
9.7500,32443.223
9.8583,33092.730
9.9667,33619.305
10.0750,33000.520
10.1833,33043.414
10.2917,33508.473
10.4000,33738.719
10.5083,33570.836
10.6167,33878.891
10.7250,33764.500
10.8333,33823.098
10.9417,34129.164
11.0500,34885.555
11.1583,34667.102
11.2667,34173.223
11.3750,33776.367
11.4833,34054.109
11.5917,33340.805
11.7000,32880.816
11.8083,32563.451
11.9167,32319.000
12.0250,31583.844
12.1333,30922.736
12.2417,30140.199
12.3500,29253.975
12.4583,28573.033
12.5667,28433.893
12.6750,27979.203
12.7833,27646.455
12.8917,27064.092
13.0000,27285.355
13.1083,26994.000
13.2167,27308.893
13.3250,27140.545
13.4333,26692.727
13.5417,26459.596
13.6500,26165.719
13.7583,26035.881
13.8667,25614.422
13.9750,25285.596
14.0833,24812.000
14.1917,24051.611
14.3000,23035.000
14.4083,22972.252
14.5167,22164.629
14.6250,21464.938
14.7333,21386.727
14.8417,20808.893
14.9500,19828.637
15.0583,19432.885
15.1667,19047.230
15.2750,18240.719
15.3833,17449.240
15.4917,17031.500
15.6000,16427.562
15.7083,16011.707
15.8167,15379.215
15.9250,14754.578
16.0333,14227.678
16.1417,13505.483
16.2500,12885.537
16.3583,12296.343
16.4667,11678.430
16.5750,11082.029
16.6833,10622.000
16.7917,9938.326
16.9000,9461.637
17.0083,9100.326
17.1167,7920.446
17.2250,7643.334
17.3333,7216.967
17.4417,6908.694
17.5500,6298.488
17.6583,6341.570
17.7667,6020.678
17.8750,5924.000
17.9833,5371.785
18.0917,5016.396
18.2000,5041.166
18.3083,4662.508
18.4167,4466.983
18.5250,4317.235
18.6333,4183.579
18.7417,3927.029
18.8500,3700.818
18.9583,3534.388
19.0667,3123.000
