Distance_(microns),Gray_Value
0.0000,2177.000
0.1083,2244.273
0.2167,2322.207
0.3250,2296.430
0.4333,2399.545
0.5417,2614.488
0.6500,2744.231
0.7583,2808.285
0.8667,2937.339
0.9750,3037.368
1.0833,3354.479
1.1917,3822.000
1.3000,4217.182
1.4083,4887.376
1.5167,5673.198
1.6250,6931.021
1.7333,8975.942
1.8417,11424.046
1.9500,13976.620
2.0583,16711.773
2.1667,18507.619
2.2750,19887.000
2.3833,20580.000
2.4917,21549.938
2.6000,21906.818
2.7083,22236.492
2.8167,22815.760
2.9250,22661.285
3.0333,23132.355
3.1417,23188.438
3.2500,23325.811
3.3583,22857.834
3.4667,23117.992
3.5750,22730.500
3.6833,22305.570
3.7917,22211.975
3.9000,21908.512
4.0083,21829.645
4.1167,21796.719
4.2250,21763.723
4.3333,21989.107
4.4417,22209.582
4.5500,22605.521
4.6583,22866.963
4.7667,23282.000
4.8750,24105.834
4.9833,24744.586
5.0917,24838.662
5.2000,25481.926
5.3083,26101.959
5.4167,25967.092
5.5250,26086.555
5.6333,26295.918
5.7417,27213.166
5.8500,27168.455
5.9583,27222.000
6.0667,27422.273
6.1750,27413.445
6.2833,28136.777
6.3917,27323.693
6.5000,26767.414
6.6083,25976.629
6.7167,26023.496
6.8250,25679.773
6.9333,25634.711
7.0417,25996.000
7.1500,25564.000
7.2583,26620.000
7.3667,27111.900
7.4750,27340.740
7.5833,27773.844
7.6917,29031.559
7.8000,29701.314
7.9083,30602.512
8.0167,31594.727
8.1250,32200.908
8.2333,34177.398
8.3417,35681.500
8.4500,38581.016
8.5583,41374.391
8.6667,43566.828
8.7750,45705.855
8.8833,47822.703
8.9917,49652.262
9.1000,50875.281
9.2083,52271.137
9.3167,53980.512
9.4250,54923.684
9.5333,56931.000
9.6417,56629.996
9.7500,57709.703
9.8583,59285.711
9.9667,60152.992
10.0750,60531.211
10.1833,62252.883
10.2917,62891.969
10.4000,62918.051
10.5083,62563.219
10.6167,62722.473
10.7250,62490.000
10.8333,62308.785
10.9417,62089.996
11.0500,61538.754
11.1583,60328.953
11.2667,59475.406
11.3750,57941.641
11.4833,59062.852
11.5917,58389.555
11.7000,58370.098
11.8083,57830.703
11.9167,58539.000
12.0250,58223.973
12.1333,58101.719
12.2417,57671.430
12.3500,58340.785
12.4583,57816.094
12.5667,58122.934
12.6750,57529.941
12.7833,57209.668
12.8917,55999.797
13.0000,54986.258
13.1083,54065.500
13.2167,52294.371
13.3250,51062.383
13.4333,48737.969
13.5417,47709.387
13.6500,46323.355
13.7583,44953.523
13.8667,44311.051
13.9750,42151.512
14.0833,40813.629
14.1917,39195.797
14.3000,36785.000
14.4083,35824.891
14.5167,34651.090
14.6250,33220.215
14.7333,31673.908
14.8417,30616.029
14.9500,29804.770
15.0583,28901.371
15.1667,28256.049
15.2750,29022.855
15.3833,29650.240
15.4917,30230.500
15.6000,31650.025
15.7083,32237.938
15.8167,33763.008
15.9250,34343.574
16.0333,34518.695
16.1417,33965.496
16.2500,33232.051
16.3583,31692.104
16.4667,30050.586
16.5750,28110.941
16.6833,24907.000
16.7917,21509.979
16.9000,17856.885
17.0083,14565.814
17.1167,11244.355
17.2250,8960.298
17.3333,7373.661
17.4417,6329.975
17.5500,5560.587
17.6583,5371.963
17.7667,5023.735
17.8750,4630.000
17.9833,4319.719
18.0917,4127.132
18.2000,3771.752
18.3083,3679.736
18.4167,3519.438
18.5250,3466.839
18.6333,3314.380
18.7417,2985.504
18.8500,3079.306
18.9583,2977.182
19.0667,2957.000
