Distance_(microns),Gray_Value
0.0000,3690.000
0.1083,3714.343
0.2167,3906.479
0.3250,4143.281
0.4333,4299.760
0.5417,4444.707
0.6500,4707.421
0.7583,4986.983
0.8667,5382.430
0.9750,5635.322
1.0833,5799.050
1.1917,6317.500
1.3000,6853.744
1.4083,7237.533
1.5167,7638.074
1.6250,8503.979
1.7333,9535.124
1.8417,10558.054
1.9500,11336.678
2.0583,12215.620
2.1667,13557.124
2.2750,14527.343
2.3833,16002.000
2.4917,16126.922
2.6000,16870.074
2.7083,17697.645
2.8167,18154.000
2.9250,18695.574
3.0333,18746.256
3.1417,18628.033
3.2500,18296.074
3.3583,17982.307
3.4667,17455.430
3.5750,16621.000
3.6833,16702.189
3.7917,16596.393
3.9000,17119.645
4.0083,17436.545
4.1167,17553.670
4.2250,17395.162
4.3333,18681.281
4.4417,19767.418
4.5500,21092.363
4.6583,22585.689
4.7667,23808.000
4.8750,24707.578
4.9833,25327.240
5.0917,25748.074
5.2000,25498.281
5.3083,26010.203
5.4167,26019.504
5.5250,26433.984
5.6333,26335.596
5.7417,26573.037
5.8500,25648.133
5.9583,25907.500
6.0667,25836.414
6.1750,25765.785
6.2833,26075.834
6.3917,25608.781
6.5000,25285.322
6.6083,25323.293
6.7167,25853.844
6.8250,26464.451
6.9333,27024.404
7.0417,27761.988
7.1500,28608.000
7.2583,29508.100
7.3667,30717.404
7.4750,32087.277
7.5833,33788.652
7.6917,35623.707
7.8000,37008.660
7.9083,38225.434
8.0167,39542.223
8.1250,39588.645
8.2333,40768.141
8.3417,41492.000
8.4500,42749.496
8.5583,44077.910
8.6667,44828.000
8.7750,46459.371
8.8833,47702.164
8.9917,48749.633
9.1000,50080.223
9.2083,51246.531
9.3167,52042.957
9.4250,52765.422
9.5333,52827.000
9.6417,52764.406
9.7500,53465.828
9.8583,53679.512
9.9667,54499.148
10.0750,54837.883
10.1833,55422.215
10.2917,56408.844
10.4000,56707.332
10.5083,57307.977
10.6167,57581.828
10.7250,57954.000
10.8333,58831.527
10.9417,59753.383
11.0500,60453.422
11.1583,60693.137
11.2667,60809.043
11.3750,59943.148
11.4833,59958.668
11.5917,59376.996
11.7000,58762.934
11.8083,57192.562
11.9167,55666.000
12.0250,53948.238
12.1333,51985.621
12.2417,49798.004
12.3500,48122.660
12.4583,46323.879
12.5667,44960.957
12.6750,44386.578
12.7833,43355.570
12.8917,43238.270
13.0000,44026.453
13.1083,44203.500
13.2167,44622.363
13.3250,44429.059
13.4333,44581.016
13.5417,44524.266
13.6500,44066.043
13.7583,42865.988
13.8667,42940.453
13.9750,42532.430
14.0833,40502.414
14.1917,39556.707
14.3000,38768.000
14.4083,38041.785
14.5167,37276.734
14.6250,36932.617
14.7333,36154.258
14.8417,35829.117
14.9500,35514.059
15.0583,34778.848
15.1667,34085.645
15.2750,33569.211
15.3833,32275.189
15.4917,31825.500
15.6000,30833.555
15.7083,29980.633
15.8167,29056.115
15.9250,27356.926
16.0333,25927.107
16.1417,24713.082
16.2500,23149.686
16.3583,21828.264
16.4667,20425.371
16.5750,18875.104
16.6833,17550.000
16.7917,16146.252
16.9000,15117.752
17.0083,13625.859
17.1167,12213.785
17.2250,11621.678
17.3333,10666.604
17.4417,9807.413
17.5500,9021.050
17.6583,8602.674
17.7667,8214.620
17.8750,7622.500
17.9833,7248.066
18.0917,6831.153
18.2000,6281.265
18.3083,5864.616
18.4167,5587.777
18.5250,5545.781
18.6333,5270.297
18.7417,4920.917
18.8500,4815.694
18.9583,4562.797
19.0667,4198.000
