Distance_(microns),Gray_Value
0.0000,3043.000
0.1083,2941.971
0.2167,3086.273
0.3250,3274.360
0.4333,3529.355
0.5417,3645.021
0.6500,3768.669
0.7583,3953.826
0.8667,4233.744
0.9750,4595.331
1.0833,4907.893
1.1917,5181.000
1.3000,5501.182
1.4083,6077.872
1.5167,6657.496
1.6250,7618.083
1.7333,8756.835
1.8417,10092.137
1.9500,11922.793
2.0583,13292.678
2.1667,15192.405
2.2750,16578.814
2.3833,17870.000
2.4917,18893.000
2.6000,19892.156
2.7083,20801.100
2.8167,21332.156
2.9250,21086.611
3.0333,21558.115
3.1417,21159.389
3.2500,20542.025
3.3583,19733.814
3.4667,19141.248
3.5750,18578.000
3.6833,17965.619
3.7917,18039.037
3.9000,17714.049
4.0083,17843.219
4.1167,17941.215
4.2250,18634.129
4.3333,20116.141
4.4417,21035.059
4.5500,22201.578
4.6583,23199.670
4.7667,24681.000
4.8750,25624.404
4.9833,26440.678
5.0917,26998.789
5.2000,26815.445
5.3083,26721.633
5.4167,27138.289
5.5250,26989.504
5.6333,26794.885
5.7417,26866.049
5.8500,26758.703
5.9583,26729.000
6.0667,26633.363
6.1750,26719.674
6.2833,26574.414
6.3917,26181.996
6.5000,25849.381
6.6083,25965.104
6.7167,26107.662
6.8250,26096.045
6.9333,26924.322
7.0417,27790.756
7.1500,28513.000
7.2583,28875.012
7.3667,30141.893
7.4750,31036.021
7.5833,32360.363
7.6917,33380.531
7.8000,34380.371
7.9083,35619.566
8.0167,36717.305
8.1250,38531.344
8.2333,39422.082
8.3417,40923.000
8.4500,42446.398
8.5583,44210.707
8.6667,46349.852
8.7750,47930.176
8.8833,49447.727
8.9917,50855.211
9.1000,52273.125
9.2083,53066.582
9.3167,53378.637
9.4250,55009.152
9.5333,55538.000
9.6417,56884.383
9.7500,57586.613
9.8583,58803.906
9.9667,59873.742
10.0750,60085.117
10.1833,59891.258
10.2917,59854.562
10.4000,60442.082
10.5083,59745.652
10.6167,60525.215
10.7250,61147.500
10.8333,61176.000
10.9417,61496.848
11.0500,61493.461
11.1583,61009.043
11.2667,61149.363
11.3750,61894.051
11.4833,61843.941
11.5917,61807.555
11.7000,61309.406
11.8083,60592.711
11.9167,58915.000
12.0250,57550.488
12.1333,55944.141
12.2417,54212.551
12.3500,52706.941
12.4583,50614.152
12.5667,48955.977
12.6750,47278.812
12.7833,46082.621
12.8917,45413.852
13.0000,45497.652
13.1083,45498.000
13.2167,46402.977
13.3250,46315.707
13.4333,47339.762
13.5417,46065.727
13.6500,45044.801
13.7583,43744.070
13.8667,42065.473
13.9750,39917.008
14.0833,38652.852
14.1917,37288.906
14.3000,36004.000
14.4083,35147.621
14.5167,34452.066
14.6250,34760.840
14.7333,34151.281
14.8417,34073.832
14.9500,33523.555
15.0583,33507.723
15.1667,33102.430
15.2750,33544.094
15.3833,34133.133
15.4917,34245.000
15.6000,33978.570
15.7083,33721.074
15.8167,34033.008
15.9250,32901.656
16.0333,31655.670
16.1417,29483.393
16.2500,27002.307
16.3583,25001.648
16.4667,23070.885
16.5750,21171.770
16.6833,18384.000
16.7917,16693.162
16.9000,14573.793
17.0083,12706.438
17.1167,11130.331
17.2250,10032.004
17.3333,8804.496
17.4417,8224.615
17.5500,7564.050
17.6583,6980.810
17.7667,6514.289
17.8750,6159.500
17.9833,5715.355
18.0917,5587.252
18.2000,5031.579
18.3083,4997.079
18.4167,4768.752
18.5250,4319.731
18.6333,4293.050
18.7417,4041.475
18.8500,3962.033
18.9583,3963.781
19.0667,3809.000
