Distance_(microns),Gray_Value
0.0000,2360.000
0.1083,2465.921
0.2167,2563.917
0.3250,2617.050
0.4333,2831.843
0.5417,2865.888
0.6500,2930.273
0.7583,3100.645
0.8667,3430.802
0.9750,3596.669
1.0833,3796.545
1.1917,4034.500
1.3000,4262.008
1.4083,4451.889
1.5167,5046.760
1.6250,5417.542
1.7333,5856.942
1.8417,6064.533
1.9500,6631.562
2.0583,7065.136
2.1667,7213.958
2.2750,7760.107
2.3833,8183.000
2.4917,9118.913
2.6000,9556.950
2.7083,9855.843
2.8167,10214.331
2.9250,10697.409
3.0333,11328.570
3.1417,11639.529
3.2500,11869.761
3.3583,12437.479
3.4667,13539.215
3.5750,14757.000
3.6833,17651.273
3.7917,22742.289
3.9000,29565.992
4.0083,38265.523
4.1167,44841.398
4.2250,47631.168
4.3333,44181.297
4.4417,37625.719
4.5500,30431.975
4.6583,24381.133
4.7667,20911.000
4.8750,19081.455
4.9833,18190.777
5.0917,17542.277
5.2000,17342.645
5.3083,17585.215
5.4167,17433.215
5.5250,17615.414
5.6333,17738.686
5.7417,17938.900
5.8500,17652.264
5.9583,17073.000
6.0667,17537.445
6.1750,17616.951
6.2833,17977.025
6.3917,17988.844
6.5000,18117.537
6.6083,18018.529
6.7167,18640.652
6.8250,19055.592
6.9333,19361.586
7.0417,19587.773
7.1500,19716.000
7.2583,20537.764
7.3667,21744.025
7.4750,22450.562
7.5833,22934.330
7.6917,23403.764
7.8000,24144.578
7.9083,25133.297
8.0167,25699.711
8.1250,26436.852
8.2333,26730.256
8.3417,27347.500
8.4500,28101.529
8.5583,28585.182
8.6667,29285.363
8.7750,29931.562
8.8833,30324.885
8.9917,31153.223
9.1000,31444.322
9.2083,31672.070
9.3167,32712.223
9.4250,32822.219
9.5333,33085.000
9.6417,33349.309
9.7500,34040.207
9.8583,34396.980
9.9667,35265.668
10.0750,35115.566
10.1833,35796.074
10.2917,35905.297
10.4000,36328.676
10.5083,36257.055
10.6167,36253.496
10.7250,36926.500
10.8333,36643.949
10.9417,37379.066
11.0500,37924.512
11.1583,37640.227
11.2667,37469.340
11.3750,36378.047
11.4833,36276.645
11.5917,36176.883
11.7000,35506.066
11.8083,34383.504
11.9167,33722.000
12.0250,32770.324
12.1333,31753.859
12.2417,30889.062
12.3500,29897.404
12.4583,29082.645
12.5667,28718.338
12.6750,28219.652
12.7833,27692.455
12.8917,27460.545
13.0000,28011.207
13.1083,28185.000
13.2167,27920.389
13.3250,27686.203
13.4333,28311.785
13.5417,28274.174
13.6500,28108.199
13.7583,27838.570
13.8667,27760.215
13.9750,26998.586
14.0833,26327.826
14.1917,25589.715
14.3000,25404.000
14.4083,24560.322
14.5167,23765.041
14.6250,22748.123
14.7333,22326.984
14.8417,21425.938
14.9500,21313.834
15.0583,20543.207
15.1667,20191.670
15.2750,19709.889
15.3833,18746.422
15.4917,18199.000
15.6000,17423.967
15.7083,17193.715
15.8167,16353.711
15.9250,15428.765
16.0333,14856.306
16.1417,13909.587
16.2500,13353.000
16.3583,12832.934
16.4667,12038.661
16.5750,11418.847
16.6833,10452.000
16.7917,9760.335
16.9000,9236.422
17.0083,8440.153
17.1167,7771.512
17.2250,7285.958
17.3333,6946.545
17.4417,6520.537
17.5500,6201.240
17.6583,5901.657
17.7667,5466.132
17.8750,5082.000
17.9833,4772.975
18.0917,4633.591
18.2000,4468.091
18.3083,4103.128
18.4167,3907.884
18.5250,3770.574
18.6333,3698.843
18.7417,3288.302
18.8500,3062.455
18.9583,2966.777
19.0667,2853.000
