Distance_(microns),Gray_Value
0.0000,2032.000
0.1083,2052.430
0.2167,2110.950
0.3250,2214.136
0.4333,2250.149
0.5417,2503.219
0.6500,2600.240
0.7583,2696.219
0.8667,2904.289
0.9750,2879.921
1.0833,3139.008
1.1917,3542.500
1.3000,3593.339
1.4083,3723.219
1.5167,4191.958
1.6250,4632.901
1.7333,5054.661
1.8417,5667.240
1.9500,6235.934
2.0583,6794.260
2.1667,7471.215
2.2750,8050.686
2.3833,8819.000
2.4917,9247.917
2.6000,9912.223
2.7083,10645.624
2.8167,10954.041
2.9250,11220.422
3.0333,11636.413
3.1417,11954.202
3.2500,12140.917
3.3583,12317.756
3.4667,12638.248
3.5750,14147.500
3.6833,18162.297
3.7917,28245.170
3.9000,45132.164
4.0083,56679.316
4.1167,63715.660
4.2250,62999.160
4.3333,61965.246
4.4417,50470.539
4.5500,35919.016
4.6583,23716.203
4.7667,20048.000
4.8750,19776.352
4.9833,19128.678
5.0917,18940.689
5.2000,18437.330
5.3083,18428.414
5.4167,18533.908
5.5250,18441.562
5.6333,18262.230
5.7417,18511.811
5.8500,17941.744
5.9583,17684.500
6.0667,17275.693
6.1750,17522.418
6.2833,17234.770
6.3917,17130.078
6.5000,17043.133
6.6083,17009.951
6.7167,17198.629
6.8250,17770.615
6.9333,18194.941
7.0417,18318.438
7.1500,19137.000
7.2583,19686.008
7.3667,20361.859
7.4750,21690.145
7.5833,23253.678
7.6917,24453.062
7.8000,25790.141
7.9083,26614.123
8.0167,27172.645
8.1250,27746.119
8.2333,28547.223
8.3417,29068.500
8.4500,30513.900
8.5583,31052.988
8.6667,31443.074
8.7750,32366.541
8.8833,33417.977
8.9917,34005.473
9.1000,34587.379
9.2083,35685.516
9.3167,35642.031
9.4250,36086.746
9.5333,36488.000
9.6417,36833.594
9.7500,36981.184
9.8583,37379.348
9.9667,38128.184
10.0750,38024.648
10.1833,38028.398
10.2917,38409.484
10.4000,38536.461
10.5083,38550.848
10.6167,38566.297
10.7250,39517.000
10.8333,40518.668
10.9417,40795.578
11.0500,41807.801
11.1583,41579.602
11.2667,41593.637
11.3750,40959.719
11.4833,40883.117
11.5917,40498.406
11.7000,39802.941
11.8083,38395.492
11.9167,36766.000
12.0250,35603.629
12.1333,33418.258
12.2417,31855.371
12.3500,30585.818
12.4583,29873.021
12.5667,28669.240
12.6750,28056.096
12.7833,27373.941
12.8917,28055.344
13.0000,28266.115
13.1083,28706.000
13.2167,28991.736
13.3250,29231.941
13.4333,29152.438
13.5417,29744.611
13.6500,29425.777
13.7583,28742.459
13.8667,28034.596
13.9750,27649.248
14.0833,27385.166
14.1917,26395.115
14.3000,24801.000
14.4083,24863.881
14.5167,24567.166
14.6250,23663.793
14.7333,23368.396
14.8417,22845.352
14.9500,22759.016
15.0583,22323.752
15.1667,22155.182
15.2750,20942.592
15.3833,20444.678
15.4917,20099.500
15.6000,19328.438
15.7083,18332.814
15.8167,17953.389
15.9250,17140.152
16.0333,16088.761
16.1417,14911.376
16.2500,14033.595
16.3583,13334.798
16.4667,12190.893
16.5750,11379.389
16.6833,10481.000
16.7917,9545.145
16.9000,8625.802
17.0083,7891.777
17.1167,7031.265
17.2250,6617.285
17.3333,6121.066
17.4417,5781.611
17.5500,5363.240
17.6583,4833.975
17.7667,4644.025
17.8750,4299.500
17.9833,4110.950
18.0917,3678.050
18.2000,3485.430
18.3083,3411.496
18.4167,3269.240
18.5250,3008.492
18.6333,2916.488
18.7417,2918.665
18.8500,2632.488
18.9583,2488.872
19.0667,2471.000
