Distance_(microns),Gray_Value
0.0000,1104.000
0.1083,1168.909
0.2167,1246.901
0.3250,1325.963
0.4333,1348.545
0.5417,1456.657
0.6500,1443.769
0.7583,1506.946
0.8667,1500.736
0.9750,1632.665
1.0833,1800.703
1.1917,1898.000
1.3000,2190.835
1.4083,2313.645
1.5167,2791.405
1.6250,3273.000
1.7333,4099.719
1.8417,5037.182
1.9500,6097.000
2.0583,7544.355
2.1667,8953.272
2.2750,10218.359
2.3833,11344.000
2.4917,12756.789
2.6000,13964.289
2.7083,15313.876
2.8167,16826.207
2.9250,17999.918
3.0333,18698.744
3.1417,18660.479
3.2500,18072.389
3.3583,17736.951
3.4667,17182.877
3.5750,16705.000
3.6833,17013.092
3.7917,17276.119
3.9000,17003.463
4.0083,17808.533
4.1167,18342.355
4.2250,18956.699
4.3333,18854.984
4.4417,19219.570
4.5500,18964.645
4.6583,19006.959
4.7667,18583.000
4.8750,19404.311
4.9833,19877.744
5.0917,20176.307
5.2000,21068.934
5.3083,21507.133
5.4167,21907.166
5.5250,21860.959
5.6333,21853.289
5.7417,21405.785
5.8500,21615.207
5.9583,21051.500
6.0667,20316.389
6.1750,20086.629
6.2833,19694.230
6.3917,18930.852
6.5000,18424.975
6.6083,17990.297
6.7167,17234.016
6.8250,16873.244
6.9333,16927.611
7.0417,16902.516
7.1500,17036.000
7.2583,17232.285
7.3667,17590.578
7.4750,17765.025
7.5833,18244.801
7.6917,18741.371
7.8000,19312.578
7.9083,20227.223
8.0167,21066.521
8.1250,21814.049
8.2333,22882.264
8.3417,24467.000
8.4500,26252.785
8.5583,27836.156
8.6667,29838.604
8.7750,31471.719
8.8833,32518.123
8.9917,34434.363
9.1000,34909.520
9.2083,35700.219
9.3167,36557.473
9.4250,37228.375
9.5333,38072.000
9.6417,38384.582
9.7500,39220.324
9.8583,39576.145
9.9667,40642.785
10.0750,41305.586
10.1833,41700.891
10.2917,42448.770
10.4000,42753.445
10.5083,42098.973
10.6167,41853.859
10.7250,41938.500
10.8333,41346.828
10.9417,40976.449
11.0500,40748.480
11.1583,39566.469
11.2667,39048.719
11.3750,39009.219
11.4833,38389.688
11.5917,38399.953
11.7000,38539.051
11.8083,38458.602
11.9167,37855.000
12.0250,38547.363
12.1333,38692.785
12.2417,38857.828
12.3500,38453.117
12.4583,38480.402
12.5667,38916.859
12.6750,38455.223
12.7833,37609.613
12.8917,37581.551
13.0000,37066.133
13.1083,36142.500
13.2167,34930.207
13.3250,33894.082
13.4333,32425.867
13.5417,32085.938
13.6500,31187.941
13.7583,29562.203
13.8667,28959.148
13.9750,27705.000
14.0833,26812.645
14.1917,25881.025
14.3000,24586.000
14.4083,23333.352
14.5167,22294.496
14.6250,21572.107
14.7333,20426.338
14.8417,19679.400
14.9500,19149.016
15.0583,18333.281
15.1667,17960.240
15.2750,17960.066
15.3833,17826.338
15.4917,19144.000
15.6000,19858.703
15.7083,20458.033
15.8167,21261.256
15.9250,21524.811
16.0333,21647.711
16.1417,20850.992
16.2500,20200.877
16.3583,19322.979
16.4667,17897.008
16.5750,16264.400
16.6833,13843.000
16.7917,12223.946
16.9000,10253.281
17.0083,7995.529
17.1167,6140.669
17.2250,4888.628
17.3333,4123.058
17.4417,3600.913
17.5500,3107.760
17.6583,2948.388
17.7667,2730.207
17.8750,2581.500
17.9833,2513.488
18.0917,2341.657
18.2000,2139.058
18.3083,2104.364
18.4167,2051.124
18.5250,1927.859
18.6333,1929.942
18.7417,1785.504
18.8500,1729.297
18.9583,1689.091
19.0667,1598.000
