,X,Station,Depth,avsyn,sdsyn,avpico,sdpico,avnano,sdnano,avhetero,sdhetero,avpercent,sdpercent,avmixo,sdmixo,Cruise,DepthBin,DepthCode
44,7,2,15,84152.86386,4687.397366,5946.241657,440.1648229,5141.82247,194.3854086,761.1272345,78.46300719,0.789843068,0.024837262,3350.112737,1261.78585,North East Shelf,20-Oct,DCM
14,15,4,15.7,1006.461174,97.17549606,1277.276181,160.0569257,1208.561884,17.15011295,NA,NA,NA,NA,NA,NA,California Current System,20-Oct,DCM
2,3,1,16.6,670.971628,137.1887591,311.233797,97.17566919,270.8139054,5.716741315,NA,NA,NA,NA,NA,NA,California Current System,20-Oct,DCM
42,1,1,17,36529.66589,7917.85675,13606.15718,2686.939381,5493.398621,1743.615576,1156.288465,22.87342065,0.834179897,0.018082061,4588.702345,440.3100352,North East Shelf,20-Oct,DCM
58,3,10,18,14285.76519,20031.636,3124.757016,4339.04654,1673.544157,2332.451468,509.4551655,22.84469903,0.374608186,0.108123913,1010.814394,137.2687991,North East Shelf,20-Oct,DCM
62,21,X,19,35714.39227,7678.398666,1160.161634,222.9792576,1362.278968,131.5153408,404.3306285,160.1301027,0.633983691,0.001016673,921.8452387,125.8528525,North East Shelf,20-Oct,DCM
49,12,6,20,13836.91087,14800.821,8104.529592,10055.21242,755.8873497,748.8475174,-40.41598301,68.60524573,-0.004358384,0.151849003,291.0843344,640.3137353,North East Shelf,20-30,DCM
23,26,6,21.9,1713.859406,45.7311868,10788.42163,383.0015457,4551.42849,594.5074425,145.5163087,22.86522924,0.153442533,0.039860825,598.2340396,148.6286931,California Current System,20-30,Deep
27,30,7,21.9,715.4447853,62.87873975,2570.750885,34.29452182,2667.760415,57.16701419,68.71500882,28.58124785,0.184257781,0.008041717,517.3842202,45.7338979,California Current System,20-30,Deep
39,18,10,21.9,1164.133229,125.7601681,5663.023505,62.88753362,3557.074011,45.73571831,72.75854677,11.43288119,0.051895865,0.014054205,189.980626,62.88093611,California Current System,20-30,Deep
46,9,4,22,189243.5153,1916.469427,6654.023635,45.69153435,3137.012583,45.7571683,2065.795567,1103.366211,0.690840691,0.054872905,1766.649374,62.84278162,North East Shelf,20-30,DCM
19,22,5,22.1,396.1159163,11.43241006,1988.663584,22.86454828,444.6199205,114.3251016,92.9675879,62.87971922,0.042079448,0.011915601,68.71477146,17.14883274,California Current System,20-30,Deep
35,38,9,22.1,1164.11411,22.8677406,12485.93176,222.9117289,2659.677182,137.186722,101.0514521,28.5813654,0.048839085,0.00076881,133.3879837,5.716699582,California Current System,20-30,Deep
30,35,8,22.4,3298.322031,57.16094406,4038.019296,51.45002348,1976.567954,108.6089618,36.37849181,5.716359317,0.041815884,0.031132361,76.79908247,62.87969029,California Current System,20-30,DCM
7,6,2,22.8,501.2084438,22.86434257,1637.011465,51.44407649,1228.769064,91.45842823,NA,NA,NA,NA,NA,NA,California Current System,20-30,Deep
11,10,3,22.8,1463.250593,1349.08484,5557.908527,417.3416862,2869.90424,823.1859089,NA,NA,NA,NA,NA,NA,California Current System,20-30,Deep
15,14,4,23.8,800.3168173,68.59254831,990.2914281,177.2071429,929.6610943,11.43547282,NA,NA,NA,NA,NA,NA,California Current System,20-30,Deep
47,10,4,25,88711.89374,2801.948438,4458.636462,314.4553755,2752.792943,28.60778805,731.7087635,28.60580264,0.693931547,0.033713891,1325.964597,57.20622068,North East Shelf,20-30,Deep
3,2,1,25.2,792.2312722,57.16272892,392.073634,5.716112273,464.8295585,51.44605471,NA,NA,NA,NA,NA,NA,California Current System,20-30,Deep
53,16,7,27,2607.14715,565.9419544,4438.213044,903.2227455,1903.823889,451.6088118,335.5523312,5.717375326,0.580124521,0.026889022,970.2581193,217.2509277,North East Shelf,20-30,DCM
54,17,7,29,3088.121519,514.4820321,1184.319615,531.6223142,711.4006214,514.4712319,307.2363822,251.5625531,0.398856328,0.18933402,319.3710033,440.2162632,North East Shelf,20-30,Deep
50,14,6,30,6407.022227,920.4541696,35082.99661,5448.370023,1806.902179,371.6029841,101.0677562,154.3645988,0.243956114,0.345006045,238.5176174,337.3148493,North East Shelf,30-40,Deep
56,20,9,30,56701.35232,41253.78434,3619.855136,3406.374088,3913.383962,728.6464761,2199.719157,251.5420364,0.233153494,0.160446623,1089.824215,200.7908167,North East Shelf,30-40,DCM
59,5,10,30,57317.23188,14325.36864,1240.930192,291.5378634,695.2442868,205.7913508,380.0076931,228.6925556,0.358429286,0.010349462,347.667119,114.3570539,North East Shelf,30-40,Deep
63,23,X,30,74239.28509,2401.782403,1527.956837,102.9150256,3710.751751,148.6718641,347.6596539,57.17471208,0.172580651,0.004788861,311.2756233,17.14715332,North East Shelf,30-40,Deep
31,34,8,33.9,4700.907396,588.7826251,4462.426275,503.0376839,1471.307143,457.3057294,56.58884575,11.43280359,0.083603614,0.008886955,125.303827,5.71659764,California Current System,30-40,Deep
60,6,10,40,2489.873437,205.7792429,347.6126439,342.9761341,363.7805321,240.0835812,145.5267946,34.29641596,0.364299831,0.180929101,101.0601467,5.718718214,North East Shelf,40-50,Deep
64,24,X,40,4385.61734,577.3606938,448.6668144,40.01553325,610.3485793,74.31389074,226.3900814,11.43703643,0.207466151,0.036910537,84.89667211,28.58509448,North East Shelf,40-50,Deep
24,25,6,42.7,1475.339262,97.17955666,3617.612469,28.57485824,1313.658091,85.74191369,105.0930808,11.43270394,0.086299269,0.016124694,117.2191741,28.58147561,California Current System,40-50,Deep
40,17,10,43.3,759.9033371,45.73002044,2328.214533,45.73177455,1147.939133,102.8941692,88.92507215,80.02846701,0.047784373,0.026010354,52.54663099,28.58158214,California Current System,40-50,Deep
28,29,7,43.7,1544.053136,262.9516184,1628.935687,337.2634534,1212.60708,91.46254529,56.5883889,22.86508094,0.098744959,0.022492674,129.3449043,22.86535278,California Current System,40-50,Deep
20,21,5,43.8,56.58779016,11.4324569,169.7633698,57.16229091,157.6374172,28.58115923,84.88172811,51.44608634,-0.002380952,0.138054181,5.84E-06,22.86492206,California Current System,40-50,Deep
36,37,9,43.9,1131.770141,125.7629343,7570.73144,417.2611775,1548.099533,5.710409576,56.58840903,3.58E-05,0.059491634,4.55E-05,84.88262978,5.716385031,California Current System,40-50,Deep
51,15,6,45,1253.020974,91.45945175,440.5783434,28.58105362,343.5702574,62.87863783,295.1157727,97.22028556,0.482549542,0.239885087,76.81174766,62.89366234,North East Shelf,40-50,Deep
8,5,2,45.6,161.6795118,45.72991575,153.59553,4.36E-05,105.0916817,22.86496476,NA,NA,NA,NA,NA,NA,California Current System,40-50,Deep
12,9,3,45.7,1467.29688,1411.967981,5238.597907,45.76448703,2526.332048,668.8384848,NA,NA,NA,NA,NA,NA,California Current System,40-50,Deep
16,13,4,47.3,355.6954974,8.08E-05,553.753226,74.31128666,432.4933882,5.716144877,NA,NA,NA,NA,NA,NA,California Current System,40-50,Deep
4,1,1,50.4,153.5955012,11.4325175,198.0573533,5.716165023,64.67179108,11.43248721,NA,NA,NA,NA,NA,NA,California Current System,50-60,Deep
32,33,8,68.8,1232.815434,40.01372495,1548.092823,62.87877696,715.4371659,120.041927,24.25213457,11.43252302,0.0761563,0.020863597,60.63037052,5.716406154,California Current System,60-70,Deep
