,Station,lineage,Avg_Total_Count,SD_Total_Count,Avg_Percentage,SD_Percentage
78,8,Eukaryota,453091.3659,148999.8893,8.443304502,0.902726624
79,8,Haptophyta,550577.0827,183228.9084,10.22276984,0.666121452
80,8,Ochrophyta,566275.1328,151743.5231,10.77632127,1.447420669
81,8,Rhizaria,34038.2965,2186.464112,0.672543999,0.176057833
82,9,Amoebozoa,10190.99834,1902.624042,0.145174385,0.02474569
83,9,Bacillariophyta,698864.9298,22023.31884,9.971660368,0.180456199
84,9,Chlorophyta,2810393.428,49858.74326,40.11914935,1.327823847
85,9,Ciliophora,31746.35447,6650.883849,0.453623127,0.099058209
86,9,Dinophyceae,640789.6691,111790.2956,9.152842265,1.672208878
87,9,Eukaryota,974535.2365,83491.91625,13.89712487,0.973738076
88,9,Haptophyta,574277.4577,26555.3118,8.200263955,0.500835687
89,9,Ochrophyta,1205387.032,149262.699,17.18552246,1.909516967
90,9,Rhizaria,61394.60183,11292.79245,0.874639224,0.147027415
